file_path,file_name,actor_id,emotion_code,emotion,sample_rate,channels,duration,file_size,hash,split
..\data\raw\RAVDESS\Actor_01\03-01-01-01-01-01-01.wav,03-01-01-01-01-01-01.wav,01,01,neutral,16000,1,3.3033125,105784,195be393137655ae98afcfa935a88d0c,development
..\data\raw\RAVDESS\Actor_01\03-01-01-01-01-02-01.wav,03-01-01-01-01-02-01.wav,01,01,neutral,16000,1,3.3366875,106852,dfbcfd1f1fce467a3d69c1920d5f1aa7,development
..\data\raw\RAVDESS\Actor_01\03-01-01-01-02-01-01.wav,03-01-01-01-02-01-01.wav,01,01,neutral,16000,1,3.2699375,104716,026f5afdb93115ce784d59fa9f0b9099,development
..\data\raw\RAVDESS\Actor_01\03-01-01-01-02-02-01.wav,03-01-01-01-02-02-01.wav,01,01,neutral,16000,1,3.169875,101514,e17bd75566571eef27686d1767b786ee,development
..\data\raw\RAVDESS\Actor_01\03-01-02-01-01-01-01.wav,03-01-02-01-01-01-01.wav,01,02,calm,16000,1,3.536875,113258,7b100b178192455dbed34e855d942090,development
..\data\raw\RAVDESS\Actor_01\03-01-02-01-01-02-01.wav,03-01-02-01-01-02-01.wav,01,02,calm,16000,1,3.603625,115394,18df2d77d32b3d68a5961f85e0e77b21,development
..\data\raw\RAVDESS\Actor_01\03-01-02-01-02-01-01.wav,03-01-02-01-02-01-01.wav,01,02,calm,16000,1,3.5035,112190,fab967f1f3d28bebd06fee908675e5fb,development
..\data\raw\RAVDESS\Actor_01\03-01-02-01-02-02-01.wav,03-01-02-01-02-02-01.wav,01,02,calm,16000,1,3.4701875,111124,66555c559f08500a8e018c2ccc33412c,development
..\data\raw\RAVDESS\Actor_01\03-01-02-02-01-01-01.wav,03-01-02-02-01-01-01.wav,01,02,calm,16000,1,3.70375,118598,0850a97358129dc0dceaab8cb2102b2f,development
..\data\raw\RAVDESS\Actor_01\03-01-02-02-01-02-01.wav,03-01-02-02-01-02-01.wav,01,02,calm,16000,1,4.004,128206,5f0ce6298e3cb880d83c763a76e97dae,development
..\data\raw\RAVDESS\Actor_01\03-01-02-02-02-01-01.wav,03-01-02-02-02-01-01.wav,01,02,calm,16000,1,4.20425,134614,07aaf2bc4d4b7a4fee2f45eeb8344050,development
..\data\raw\RAVDESS\Actor_01\03-01-02-02-02-02-01.wav,03-01-02-02-02-02-01.wav,01,02,calm,16000,1,4.004,128206,4f45556044da8acb618dc11075da6aec,development
..\data\raw\RAVDESS\Actor_01\03-01-03-01-01-01-01.wav,03-01-03-01-01-01-01.wav,01,03,happy,16000,1,3.4701875,111124,0bef3083b615735551b7fa347617d678,development
..\data\raw\RAVDESS\Actor_01\03-01-03-01-01-02-01.wav,03-01-03-01-01-02-01.wav,01,03,happy,16000,1,3.470125,111122,39812f2e3aa73c0221db7afe486271be,development
